zipcode,MedianFamilyIncome,no_college,category_hotdogs_frac,lapophalfshare,Fresh_FV,soda,bmi,ow,fastfood,white_frac,black_frac,hispanic_frac,category_waterproofing,category_countertopinstall,category_electronics,age,male_frac,fast_food,Treatment
1002,92490.38,0.342229908,0.021428571,0.917541804,0.752829792,0.010136489,26.68509417,0.541666667,0.249316249,0.73680347,0.052652653,0.062395729,0.001277139,0.001915709,0.003831418,33.64166667,0.241666667,0.249316249,False
1003,97522.48,0.876033058,0.029652352,0.89858416,0.850706581,0.00598258,25.27500263,0.315789474,0.276006988,0.734330737,0.056303116,0.046565156,0.001897533,0.001897533,0.003795066,26.02631579,0.131578947,0.276006988,False
1007,90918.82,0.573860791,0.022380468,0.913746635,0.915652947,0.019254695,28.84104242,0.676767677,0.373530013,0.913554541,0.008396024,0.020486298,0.001253918,0.001880878,0.004388715,38.67676768,0.181818182,0.373530013,False
1013,50298.07,0.81985704,0.02060844,0.617277116,0.607905441,0.028978045,29.75359286,0.7,0.449863084,0.684914789,0.030597568,0.250751863,0.003708282,0.004326329,0.003708282,35.72857143,0.3,0.449863084,True
1028,91469.47,0.570019894,0.017641597,0.884644218,0.644619361,0.01375302,26.61938317,0.554455446,0.268029984,0.877855942,0.059764677,0.028450476,0.003071253,0.003685504,0.003071253,37.2970297,0.178217822,0.268029984,False
1035,94864.0,0.50243309,0.024793388,0.865117619,0.902630758,0.015489422,26.97039744,0.666666667,0.30328734,0.898463844,0.022667666,0.044773323,0.001889169,0.002518892,0.005037783,38.20512821,0.205128205,0.30328734,False
1040,45855.15,0.744229168,0.012987013,0.63535673,0.682437983,0.032479895,29.68249077,0.753846154,0.344152701,0.431653426,0.035029791,0.499751738,0.003078818,0.003694581,0.004926108,38.18461538,0.269230769,0.344152701,True
1075,92171.16,0.602002716,0.016080402,0.946696592,0.8855764,0.015916341,28.55416207,0.646551724,0.3109595,0.856949916,0.030669668,0.052841868,0.00308642,0.004320988,0.004938272,38.15517241,0.206896552,0.3109595,False
1077,93433.61,0.651364227,0.021698113,0.98659999,0.620568683,0.022325137,29.09672063,0.761904762,0.37840994,0.957512953,0.000103627,0.001554404,0.004307692,0.003692308,0.002461538,38.71428571,0.222222222,0.37840994,False
1095,103751.11,0.557627282,0.015567766,0.848966484,0.851321478,0.016700103,27.01586429,0.625,0.213397859,0.901983664,0.026220056,0.039330084,0.002458513,0.003687769,0.003073141,37.29464286,0.196428571,0.213397859,False
1104,38633.04,0.873661817,0.016881827,0.47561873,0.691416523,0.015458391,31.11040392,0.764705882,0.426728033,0.315878014,0.079972394,0.571668895,0.003708282,0.004326329,0.003090235,36.64705882,0.235294118,0.426728033,True
1106,106909.27,0.356734037,0.017304189,0.62846133,0.788109035,0.018561199,27.06384188,0.564102564,0.349232545,0.870862792,0.009322405,0.040167678,0.004250152,0.004250152,0.003035823,37.14529915,0.247863248,0.349232545,False
1108,46763.34,0.819166867,0.016869728,0.489555504,0.682955202,0.012270075,29.33156543,0.777777778,0.401634901,0.312489015,0.163380084,0.440261521,0.003687769,0.003687769,0.003073141,37.02469136,0.259259259,0.401634901,True
1109,42908.07,0.862954899,0.018700787,0.693807894,0.606715667,0.024514444,29.730102,0.78,0.43154741,0.216198281,0.348883506,0.390590265,0.003678725,0.004291845,0.003678725,34.78,0.18,0.43154741,True
1119,54850.19,0.781818182,0.01984127,0.683052317,0.695238284,0.009818004,29.50058462,0.743589744,0.358340169,0.478955007,0.22985257,0.26430372,0.003088326,0.003705991,0.003705991,35.33333333,0.230769231,0.358340169,True
1247,53514.14,0.765272727,0.076923077,0.720026281,0.716726753,0.013796715,28.91826066,0.737704918,0.373761522,0.910143084,0.011128776,0.035230525,0.00309119,0.001545595,0.000772798,36.70491803,0.180327869,0.373761522,True
1267,94380.15,0.387475538,0.085790885,0.8002927,0.824608544,0.007841619,26.77509677,0.548387097,0.245446975,0.791741015,0.045500892,0.069334693,0.003528582,0.001411433,0.000705716,36.03225806,0.161290323,0.245446975,False
1432,111749.55,0.621388839,0.018552876,0.926905016,0.5658123,0.005500803,31.04059565,0.826086957,0.391769916,0.827627074,0.038846458,0.047669213,0.001253918,0.001880878,0.002507837,42.43478261,0.304347826,0.391769916,False
1450,112789.64,0.359780765,0.016965127,0.905853234,0.853564151,0.003605727,27.00518214,0.607142857,0.317481003,0.919781792,0.003845466,0.015024146,0.000608273,0.001824818,0.003649635,43.17857143,0.25,0.317481003,False
1451,154154.08,0.232396494,0.015858209,0.987173671,1.08936046,0.018592952,26.11426923,0.435897436,0.413384099,0.904515014,0.023331173,0.019658674,0.001267427,0.002534854,0.002534854,40.48717949,0.358974359,0.413384099,False
1452,105959.57,0.730326296,0.042194093,0.999999999,0.90425806,0.006822734,27.81519697,0.787878788,0.313073723,0.94357505,0.027551245,0.018514437,0.001228501,0.001842752,0.001228501,40.75757576,0.151515152,0.313073723,False
1460,134972.49,0.438649425,0.011775362,0.903313605,0.800613429,0.011760726,27.53399747,0.620253165,0.281217755,0.894631998,0.005871252,0.006814846,0.000628931,0.001257862,0.002515723,39.84810127,0.17721519,0.281217755,False
1463,98285.16,0.629851843,0.027671756,0.868749616,0.711014045,0.029749333,28.01818,0.615384615,0.327181083,0.927520572,0.01138725,0.023023855,0.000608273,0.00243309,0.003041363,39.46153846,0.169230769,0.327181083,False
1469,97234.43,0.685384309,0.015873016,0.975190676,0.621726457,0.006987398,28.02487576,0.712121212,0.404875933,0.946837147,0.001076716,0.023687752,0.00061237,0.00122474,0.003674219,39.51515152,0.136363636,0.404875933,False
1504,95541.06,0.708536983,0.014336918,0.850508213,0.679900845,0.020774125,28.6150449,0.714285714,0.437395494,0.936479929,0.007609175,0.023268637,0.002422774,0.002422774,0.001817081,39.57142857,0.183673469,0.437395494,False
1510,100099.76,0.660567627,0.026011561,0.829599583,0.673210056,0.014238147,29.44371368,0.726315789,0.356179334,0.788284032,0.010829275,0.156261356,0.000633312,0.005066498,0.001899937,40.26315789,0.231578947,0.356179334,False
1516,96029.77,0.665112263,0.01394052,0.999588834,0.913175372,0.024964598,27.757686,0.66,0.328180063,0.889285303,0.003797905,0.076188284,0.000613497,0.004294479,0.001840491,37.58,0.24,0.328180063,False
1519,124135.61,0.480119073,0.018590998,0.962398183,0.801225537,0.002245226,26.97034603,0.666666667,0.277685087,0.874160049,0.055436775,0.01893708,0.001246106,0.005607477,0.002492212,36.25396825,0.301587302,0.277685087,False
1520,106354.82,0.472085623,0.023952096,0.850278032,0.712997945,0.013787236,27.68149606,0.645669291,0.355714833,0.908870968,0.011962366,0.032997312,0.000619579,0.003717472,0.001239157,41.27559055,0.244094488,0.355714833,False
1523,120440.17,0.678630287,0.025145068,0.881373573,0.77983814,0.011598917,25.72309048,0.476190476,0.412634042,0.866982461,0.051849955,0.063628217,0.001250782,0.003126954,0.002501563,40.30952381,0.285714286,0.412634042,False
1527,94455.09,0.651803066,0.014807502,0.835225875,0.735813925,0.007227177,28.05769077,0.661538462,0.384557129,0.921227012,0.005286278,0.024197751,0.000619195,0.00619195,0.00247678,37.81538462,0.246153846,0.384557129,False
1532,121920.96,0.45476073,0.020952381,0.815615914,0.860556794,0.012845946,26.4558777,0.510791367,0.315105597,0.835511249,0.020005389,0.023508016,0.001272265,0.004452926,0.001908397,37.44604317,0.28057554,0.315105597,False
1534,102125.17,0.622867272,0.014349776,0.970000263,0.731733904,0.013523658,27.38177174,0.630434783,0.391258394,0.929128942,0.005151421,0.035591633,0.003097893,0.004956629,0.002478315,40.63043478,0.369565217,0.391258394,False
1536,117038.79,0.494755245,0.024654832,0.86660112,0.804698357,0.015179106,27.40105574,0.68852459,0.332936931,0.79171629,0.033346566,0.088659521,0.001265022,0.005060089,0.002530044,38.47540984,0.131147541,0.332936931,False
1543,111983.0,0.562842528,0.036307054,1.0,0.834085033,0.024316788,27.08355577,0.557692308,0.2898672,0.948940728,0.000833135,0.022494644,0.0,0.003090235,0.001236094,38.46153846,0.192307692,0.2898672,False
1545,112011.44,0.436757658,0.032226563,0.742027468,0.890107841,0.00771983,27.42364264,0.600775194,0.324820954,0.738082708,0.033875301,0.035177132,0.000630915,0.004416404,0.001892744,39.65116279,0.275193798,0.324820954,False
1550,54332.39,0.822798202,0.062054934,0.816088952,0.652834472,0.027812002,30.67741915,0.787234043,0.450018396,0.619947694,0.023775559,0.3319068,0.000618429,0.004329004,0.002473717,35.65957447,0.255319149,0.450018396,True
1564,108019.38,0.500714286,0.015609756,0.955808142,0.833908323,0.003981154,27.65433214,0.714285714,0.365556546,0.911616797,0.005028916,0.055569525,0.000611621,0.003058104,0.003058104,41.66071429,0.232142857,0.365556546,False
