zipcode,MedianFamilyIncome,no_college,category_hotdogs_frac,lapophalfshare,Fresh_FV,soda,bmi,ow,fastfood,white_frac,black_frac,hispanic_frac,category_waterproofing,category_countertopinstall,category_electronics,age,male_frac,fast_food,Treatment
1104,38633.04,0.873661817,0.016881827,0.47561873,0.691416523,0.015458391,31.11040392,0.764705882,0.426728033,0.315878014,0.079972394,0.571668895,0.003708282,0.004326329,0.003090235,36.64705882,0.235294118,0.426728033,True
1841,41181.78,0.911013858,0.018469657,0.393364335,0.661952983,0.020788304,31.56536909,0.872727273,0.409682365,0.130299356,0.017915378,0.833765365,0.000619195,0.001857585,0.00371517,35.16363636,0.181818182,0.409682365,True
1843,73064.27,0.848299189,0.017513135,0.908363063,0.650527206,0.013366916,30.91961918,0.835616438,0.420036683,0.249585949,0.039710357,0.636983399,0.000618812,0.002475248,0.003712871,35.80821918,0.273972603,0.420036683,False
2128,50661.15,0.77663198,0.015241321,0.249944525,0.738537296,0.010364862,28.2034088,0.648,0.399097787,0.320182652,0.025969529,0.577021295,0.00418702,0.001395673,0.000697837,32.8,0.24,0.399097787,True
2150,51115.49,0.825190355,0.020627417,0.227465046,0.652320978,0.014449237,28.10027333,0.666666667,0.431084201,0.232131182,0.050317755,0.656484557,0.003261579,0.003261579,0.000652316,35.82222222,0.333333333,0.431084201,True
2907,37571.53,0.84926493,0.02425876,0.352621407,0.503462563,0.019309829,31.59284848,0.878787879,0.445068284,0.107735694,0.207903473,0.59001178,0.0,0.002487562,0.001865672,35.3030303,0.242424242,0.445068284,True
2909,41461.97,0.87416418,0.025157233,0.429903656,0.731356686,0.014362517,27.99939625,0.7375,0.407996694,0.212053314,0.095978379,0.599963041,0.0,0.004385965,0.001253133,33.375,0.2375,0.407996694,True
6051,54546.74,0.909381834,0.023131673,0.526295308,0.681884511,0.025909914,30.63131087,0.760869565,0.470204918,0.274138961,0.116099277,0.564171478,0.001813785,0.004232164,0.001813785,33.23913043,0.217391304,0.470204918,True
6106,43851.41,0.856878307,0.034958602,0.174340564,0.551703146,0.012858845,27.8885125,0.611111111,0.418111404,0.154275191,0.182425677,0.60673507,0.00125,0.0025,0.003125,33.25,0.25,0.418111404,True
7011,70000.72,0.797798766,0.026186579,0.242983465,0.568650597,0.02440761,28.6594697,0.696969697,0.319135174,0.344286095,0.061337076,0.532434852,0.003174603,0.007619048,0.002539683,33.43939394,0.272727273,0.319135174,True
7047,65064.48,0.74573207,0.010007148,0.070162415,0.556730087,0.017941697,28.60893962,0.754716981,0.348580588,0.155404437,0.025385804,0.747081588,0.000686342,0.003431709,0.002745367,37.61320755,0.254716981,0.348580588,True
7055,50936.93,0.851234459,0.02698145,0.124563915,0.648782049,0.01894318,30.60656078,0.784313725,0.249541841,0.152846657,0.083288463,0.720718678,0.00257566,0.007083065,0.001931745,34.39215686,0.392156863,0.249541841,True
7087,43319.85,0.80992947,0.008362369,0.0,0.639771951,0.014105291,28.59769271,0.75,0.316833699,0.117136031,0.018967639,0.817099833,0.001337793,0.001337793,0.002006689,33.44791667,0.364583333,0.316833699,True
7093,57723.06,0.735820336,0.020061728,0.001113837,0.644547042,0.02620659,28.43418966,0.646551724,0.291777487,0.136815804,0.023315374,0.762957757,0.001376462,0.002752925,0.002752925,35.43103448,0.318965517,0.291777487,True
7104,44976.49,0.841764906,0.022222222,0.135238278,0.50614297,0.029859498,31.61101481,0.888888889,0.3414435,0.06297908,0.250319387,0.639332482,0.003322259,0.003986711,0.000664452,33.77777778,0.296296296,0.3414435,True
7105,37983.14,0.863610776,0.03205699,0.135791472,0.599387738,0.017475299,29.40172927,0.829268293,0.324477961,0.339073414,0.085451033,0.501114579,0.002700878,0.002700878,0.000675219,33.51219512,0.463414634,0.324477961,True
7202,53855.19,0.886323863,0.0264731,0.272578194,0.44069948,0.028202837,30.7353413,0.804347826,0.472498374,0.161096417,0.133637894,0.627578745,0.004447268,0.001270648,0.000635324,35.26086957,0.304347826,0.472498374,True
7208,58844.15,0.82240566,0.029711375,0.294895761,0.524131898,0.010049255,28.53396596,0.659574468,0.404740384,0.175922404,0.154684925,0.612939014,0.002530044,0.005060089,0.001265022,34.9787234,0.340425532,0.404740384,True
