STCOUNTYFP,STNAME,CTYNAME,POPESTIMATE2013
1000,Alabama,Alabama,4830081
1001,Alabama,Autauga County,54727
1003,Alabama,Baldwin County,194885
1005,Alabama,Barbour County,26937
1007,Alabama,Bibb County,22521
1009,Alabama,Blount County,57619
1011,Alabama,Bullock County,10549
1013,Alabama,Butler County,20356
1015,Alabama,Calhoun County,116471
1017,Alabama,Chambers County,34139
1019,Alabama,Cherokee County,26017
1021,Alabama,Chilton County,43628
1023,Alabama,Choctaw County,13397
1025,Alabama,Clarke County,25123
1027,Alabama,Clay County,13404
1029,Alabama,Cleburne County,14976
1031,Alabama,Coffee County,50681
1033,Alabama,Colbert County,54529
1035,Alabama,Conecuh County,12912
1037,Alabama,Coosa County,11254
1039,Alabama,Covington County,37814
1041,Alabama,Crenshaw County,13847
1043,Alabama,Cullman County,80690
1045,Alabama,Dale County,49771
1047,Alabama,Dallas County,41976
1049,Alabama,DeKalb County,70912
1051,Alabama,Elmore County,80536
1053,Alabama,Escambia County,37765
1055,Alabama,Etowah County,103884
1057,Alabama,Fayette County,16824
1059,Alabama,Franklin County,31553
1061,Alabama,Geneva County,26677
1063,Alabama,Greene County,8748
1065,Alabama,Hale County,15246
1067,Alabama,Henry County,17129
1069,Alabama,Houston County,103643
1071,Alabama,Jackson County,52957
1073,Alabama,Jefferson County,659265
1075,Alabama,Lamar County,14212
1077,Alabama,Lauderdale County,92701
1079,Alabama,Lawrence County,33575
1081,Alabama,Lee County,151809
1083,Alabama,Limestone County,88916
1085,Alabama,Lowndes County,10661
1087,Alabama,Macon County,20021
1089,Alabama,Madison County,346625
1091,Alabama,Marengo County,20119
1093,Alabama,Marion County,30224
1095,Alabama,Marshall County,94356
1097,Alabama,Mobile County,413918
1099,Alabama,Monroe County,22170
1101,Alabama,Montgomery County,228190
1103,Alabama,Morgan County,119571
1105,Alabama,Perry County,9999
1107,Alabama,Pickens County,19300
1109,Alabama,Pike County,33715
1111,Alabama,Randolph County,22547
1113,Alabama,Russell County,59149
1115,Alabama,St. Clair County,85810
1117,Alabama,Shelby County,204039
1119,Alabama,Sumter County,13394
1121,Alabama,Talladega County,81578
1123,Alabama,Tallapoosa County,41028
1125,Alabama,Tuscaloosa County,201084
1127,Alabama,Walker County,65777
1129,Alabama,Washington County,16897
1131,Alabama,Wilcox County,11145
1133,Alabama,Winston County,24189
2000,Alaska,Alaska,737068
2013,Alaska,Aleutians East Borough,3343
2016,Alaska,Aleutians West Census Area,5777
2020,Alaska,Anchorage Municipality,301142
2050,Alaska,Bethel Census Area,17852
2060,Alaska,Bristol Bay Borough,951
2068,Alaska,Denali Borough,1943
2070,Alaska,Dillingham Census Area,4978
2090,Alaska,Fairbanks North Star Borough,100933
2100,Alaska,Haines Borough,2558
2105,Alaska,Hoonah-Angoon Census Area,2116
2110,Alaska,Juneau City and Borough,32594
2122,Alaska,Kenai Peninsula Borough,57014
2130,Alaska,Ketchikan Gateway Borough,13722
2150,Alaska,Kodiak Island Borough,14093
2158,Alaska,Kusilvak Census Area,7974
2164,Alaska,Lake and Peninsula Borough,1667
2170,Alaska,Matanuska-Susitna Borough,95880
2180,Alaska,Nome Census Area,9852
2185,Alaska,North Slope Borough,9792
2188,Alaska,Northwest Arctic Borough,7725
2195,Alaska,Petersburg Borough,3291
2198,Alaska,Prince of Wales-Hyder Census Area,6446
2220,Alaska,Sitka City and Borough,8973
2230,Alaska,Skagway Municipality,1026
2240,Alaska,Southeast Fairbanks Census Area,6986
2261,Alaska,Valdez-Cordova Census Area,9781
2275,Alaska,Wrangell City and Borough,2448
2282,Alaska,Yakutat City and Borough,651
2290,Alaska,Yukon-Koyukuk Census Area,5560
4000,Arizona,Arizona,6632764
4001,Arizona,Apache County,72322
4003,Arizona,Cochise County,129578
4005,Arizona,Coconino County,136699
4007,Arizona,Gila County,53005
4009,Arizona,Graham County,37433
4011,Arizona,Greenlee County,8916
4012,Arizona,La Paz County,20522
4013,Arizona,Maricopa County,4017723
4015,Arizona,Mohave County,203126
4017,Arizona,Navajo County,107135
4019,Arizona,Pima County,997127
4021,Arizona,Pinal County,385398
4023,Arizona,Santa Cruz County,46939
4025,Arizona,Yavapai County,214421
4027,Arizona,Yuma County,202420
5000,Arkansas,Arkansas,2959400
