County,Pop
"Autauga County, Alabama","58,802"
"Baldwin County, Alabama","231,761"
"Barbour County, Alabama","25,224"
"Bibb County, Alabama","22,300"
"Blount County, Alabama","59,130"
"Bullock County, Alabama","10,362"
"Butler County, Alabama","19,055"
"Calhoun County, Alabama","116,444"
"Chambers County, Alabama","34,774"
"Cherokee County, Alabama","24,979"
"Chilton County, Alabama","45,009"
"Choctaw County, Alabama","12,663"
"Clarke County, Alabama","23,087"
"Clay County, Alabama","14,237"
"Cleburne County, Alabama","15,057"
"Coffee County, Alabama","53,460"
"Colbert County, Alabama","57,232"
"Conecuh County, Alabama","11,597"
"Coosa County, Alabama","10,382"
"Covington County, Alabama","37,567"
"Crenshaw County, Alabama","13,197"
"Cullman County, Alabama","87,857"
"Dale County, Alabama","49,319"
"Dallas County, Alabama","38,463"
"DeKalb County, Alabama","71,611"
"Elmore County, Alabama","87,974"
"Escambia County, Alabama","36,767"
"Etowah County, Alabama","103,441"
"Fayette County, Alabama","16,326"
"Franklin County, Alabama","32,113"
"Geneva County, Alabama","26,660"
"Greene County, Alabama","7,734"
"Hale County, Alabama","14,786"
"Henry County, Alabama","17,148"
"Houston County, Alabama","107,204"
"Jackson County, Alabama","52,582"
"Jefferson County, Alabama","674,355"
"Lamar County, Alabama","13,976"
"Lauderdale County, Alabama","93,565"
"Lawrence County, Alabama","33,077"
"Lee County, Alabama","174,244"
"Limestone County, Alabama","103,563"
"Lowndes County, Alabama","10,310"
"Macon County, Alabama","19,534"
"Madison County, Alabama","388,160"
"Marengo County, Alabama","19,324"
"Marion County, Alabama","29,341"
"Marshall County, Alabama","97,611"
"Mobile County, Alabama","414,812"
"Monroe County, Alabama","19,770"
"Montgomery County, Alabama","228,948"
"Morgan County, Alabama","123,421"
"Perry County, Alabama","8,515"
"Pickens County, Alabama","19,124"
"Pike County, Alabama","33,008"
"Randolph County, Alabama","21,970"
"Russell County, Alabama","59,187"
"St. Clair County, Alabama","91,471"
"Shelby County, Alabama","223,034"
"Sumter County, Alabama","12,348"
"Talladega County, Alabama","82,152"
"Tallapoosa County, Alabama","41,316"
"Tuscaloosa County, Alabama","227,041"
"Walker County, Alabama","65,342"
"Washington County, Alabama","15,388"
"Wilcox County, Alabama","10,601"
"Winston County, Alabama","23,544"
"Aleutians East Borough, Alaska","3,419"
"Aleutians West Census Area, Alaska","5,232"
"Anchorage Municipality, Alaska","291,244"
"Bethel Census Area, Alaska","18,670"
"Bristol Bay Borough, Alaska",843
"Chugach Census Area, Alaska","7,097"
"Copper River Census Area, Alaska","2,618"
"Denali Borough, Alaska","1,624"
"Dillingham Census Area, Alaska","4,853"
"Fairbanks North Star Borough, Alaska","95,657"
"Haines Borough, Alaska","2,080"
"Hoonah-Angoon Census Area, Alaska","2,364"
"Juneau City and Borough, Alaska","32,255"
"Kenai Peninsula Borough, Alaska","58,789"
"Ketchikan Gateway Borough, Alaska","13,957"
"Kodiak Island Borough, Alaska","13,101"
"Kusilvak Census Area, Alaska","8,372"
"Lake and Peninsula Borough, Alaska","1,476"
"Matanuska-Susitna Borough, Alaska","107,082"
"Nome Census Area, Alaska","10,049"
"North Slope Borough, Alaska","11,030"
"Northwest Arctic Borough, Alaska","7,790"
"Petersburg Borough, Alaska","3,399"
"Prince of Wales-Hyder Census Area, Alaska","5,753"
"Sitka City and Borough, Alaska","8,448"
"Skagway Municipality, Alaska","1,242"
"Southeast Fairbanks Census Area, Alaska","6,805"
"Wrangell City and Borough, Alaska","2,126"
"Yakutat City and Borough, Alaska",664
"Yukon-Koyukuk Census Area, Alaska","5,339"
"Apache County, Arizona","66,024"
"Cochise County, Arizona","125,448"
"Coconino County, Arizona","145,100"
"Gila County, Arizona","53,273"
"Graham County, Arizona","38,533"
"Greenlee County, Arizona","9,561"
"La Paz County, Arizona","16,555"
"Maricopa County, Arizona","4,420,574"
"Mohave County, Arizona","213,269"
"Navajo County, Arizona","106,716"
"Pima County, Arizona","1,043,434"
"Pinal County, Arizona","425,257"
"Santa Cruz County, Arizona","47,665"
"Yavapai County, Arizona","236,218"
"Yuma County, Arizona","203,880"
"Arkansas County, Arkansas","17,150"
"Ashley County, Arkansas","19,064"
"Baxter County, Arkansas","41,633"
"Benton County, Arkansas","284,329"
"Boone County, Arkansas","37,372"
"Bradley County, Arkansas","10,540"
"Calhoun County, Arkansas","4,742"
"Carroll County, Arkansas","28,260"
"Chicot County, Arkansas","10,212"
"Clark County, Arkansas","21,447"
"Clay County, Arkansas","14,548"
"Cleburne County, Arkansas","24,705"
"Cleveland County, Arkansas","7,548"
"Columbia County, Arkansas","22,798"
"Conway County, Arkansas","20,709"
"Craighead County, Arkansas","111,233"
"Crawford County, Arkansas","60,130"
"Crittenden County, Arkansas","48,169"
"Cross County, Arkansas","16,830"
"Dallas County, Arkansas","6,479"
"Desha County, Arkansas","11,395"
"Drew County, Arkansas","17,348"
"Faulkner County, Arkansas","123,498"
"Franklin County, Arkansas","17,101"
"Fulton County, Arkansas","12,077"
"Garland County, Arkansas","100,172"
"Grant County, Arkansas","17,966"
"Greene County, Arkansas","45,740"
"Hempstead County, Arkansas","20,062"
"Hot Spring County, Arkansas","33,046"
"Howard County, Arkansas","12,784"
"Independence County, Arkansas","37,931"
"Izard County, Arkansas","13,574"
"Jackson County, Arkansas","16,760"
"Jefferson County, Arkansas","67,261"
"Johnson County, Arkansas","25,749"
"Lafayette County, Arkansas","6,311"
"Lawrence County, Arkansas","16,216"
"Lee County, Arkansas","8,597"
"Lincoln County, Arkansas","12,936"
"Little River County, Arkansas","12,028"
"Logan County, Arkansas","21,132"
"Lonoke County, Arkansas","74,010"
"Madison County, Arkansas","16,521"
"Marion County, Arkansas","16,832"
"Miller County, Arkansas","42,595"
"Mississippi County, Arkansas","40,692"
"Monroe County, Arkansas","6,799"
"Montgomery County, Arkansas","8,486"
"Nevada County, Arkansas","8,315"
"Newton County, Arkansas","7,225"
"Ouachita County, Arkansas","22,648"
"Perry County, Arkansas","10,021"
"Phillips County, Arkansas","16,576"
"Pike County, Arkansas","10,180"
"Poinsett County, Arkansas","22,965"
"Polk County, Arkansas","19,223"
"Pope County, Arkansas","63,385"
"Prairie County, Arkansas","8,284"
"Pulaski County, Arkansas","399,117"
"Randolph County, Arkansas","18,571"
"St. Francis County, Arkansas","23,089"
"Saline County, Arkansas","123,424"
"Scott County, Arkansas","9,833"
"Searcy County, Arkansas","7,831"
"Sebastian County, Arkansas","127,800"
"Sevier County, Arkansas","15,844"
"Sharp County, Arkansas","17,280"
"Stone County, Arkansas","12,358"
"Union County, Arkansas","39,049"
"Van Buren County, Arkansas","15,797"
"Washington County, Arkansas","245,866"
"White County, Arkansas","76,822"
"Woodruff County, Arkansas","6,276"
"Yell County, Arkansas","20,259"
"Alameda County, California","1,682,331"
"Alpine County, California","1,201"
"Amador County, California","40,474"
"Butte County, California","211,631"
