COUNTYNAME,STATE,STCOUNTYFP,Fresh_FV,fastfood,ow,soda,count,Fresh_FV_P,fastfood_P,ow_P,soda_P
Abbeville County,SC,45001,0.486920177,0.531399288,0.708695652,0.022226475,229,28,79,50,13
Acadia Parish,LA,22001,0.514583151,0.388973488,0.769565217,0.034119276,228,38,33,88,47
Accomack County,VA,51001,0.622078562,0.423736205,0.494117647,0.03885949,61,76,44,1,61
Ada County,ID,16001,0.667954798,0.311497009,0.664421998,0.02444247,2661,87,11,22,17
Adair County,IA,19001,0.499102907,0.371003975,0.720720721,0.043245879,106,32,27,58,74
Adair County,KY,21001,0.481367561,0.713397696,0.759493671,0.059314498,231,26,100,83,93
Adair County,MO,29001,0.643817462,0.421181124,0.676923077,0.03928212,126,82,43,29,63
Adair County,OK,40001,0.414242339,0.473075425,0.78,0.029408632,50,8,60,91,31
Adams County,CO,8001,0.630920386,0.340363691,0.67377974,0.027940536,4069,78,19,27,26
Adams County,IA,19003,0.47331238,0.391795799,0.647887324,0.04852147,37,24,33,16,84
Adams County,ID,16003,0.85866922,0.192072094,0.6,0.014438126,271,100,0,6,2
Adams County,IL,17001,0.531350886,0.396831119,0.690140845,0.029519971,229,45,35,37,32
Adams County,IN,18001,0.575964687,0.559497409,0.768240343,0.050827579,65,62,86,87,86
Adams County,MS,28001,0.422916143,0.499536969,0.637931034,0.038713311,53,10,69,13,61
Adams County,ND,38001,0.342898617,0.197262586,0.545454545,0.121509149,172,1,1,2,100
Adams County,OH,39001,0.404712293,0.514391371,0.8125,0.064125113,94,7,74,97,95
Adams County,PA,42001,0.626841583,0.37576575,0.695262484,0.038222537,777,77,29,40,59
Adams County,WA,53001,0.641381379,0.284725395,0.753623188,0.034014241,66,81,6,81,46
Adams County,WI,55001,0.571078045,0.376493653,0.762114537,0.033638359,225,61,29,85,45
Addison County,VT,50001,0.836329567,0.215546012,0.638554217,0.01045867,242,99,1,13,1
Aiken County,SC,45003,0.510890266,0.50143089,0.727799228,0.036535889,508,37,70,63,55
Aitkin County,MN,27001,0.63611325,0.315899038,0.714285714,0.049651256,51,80,12,54,85
Alachua County,FL,12001,0.624057026,0.367235154,0.59141791,0.028813986,1601,77,26,5,29
Alamance County,NC,37001,0.548274919,0.492541375,0.71473851,0.03266907,626,52,67,54,42
Alameda County,CA,6001,0.670710976,0.261589322,0.658893535,0.016363711,6204,87,3,20,4
Alamosa County,CO,8003,0.544990928,0.395382004,0.656716418,0.024919332,65,51,35,20,18
Albany County,NY,36001,0.710800377,0.320557717,0.677383997,0.01735679,2706,92,13,29,5
Albany County,WY,56001,0.645343417,0.342248484,0.602996255,0.023202,258,82,19,6,15
Albemarle County,VA,51003,0.740945484,0.293133872,0.564671815,0.023417807,1026,96,8,3,15
Alcona County,MI,26001,0.545172442,0.435506249,0.536585366,0.020915302,35,51,48,2,10
Alcorn County,MS,28003,0.468198603,0.598425099,0.757142857,0.043108242,69,22,92,82,73
Alexander County,IL,17003,0.407957564,0.491127393,0.529411765,0.042307713,31,7,66,2,72
Alexander County,NC,37003,0.50879441,0.512083425,0.717525773,0.033048301,485,36,73,56,43
Alexandria city,VA,51510,0.681336839,0.319988508,0.627893519,0.021361443,1721,89,13,10,11
Alfalfa County,OK,40003,0.473022051,0.503732453,0.6,0.025633432,37,24,71,6,20
Allamakee County,IA,19005,0.833251532,0.298434942,0.607594937,0.03344981,157,99,9,7,44
Allegan County,MI,26005,0.592083919,0.418323482,0.685746995,0.028162699,1741,67,43,34,27
Allegany County,MD,24001,0.610962721,0.482558957,0.644670051,0.018694539,183,73,63,15,7
Allegany County,NY,36003,0.596705223,0.331605609,0.696275072,0.029489596,334,69,16,41,31
