zipcode,MedianFamilyIncome,no_college,category_hotdogs_frac,lapophalfshare,Fresh_FV,soda,bmi,ow,fastfood,white_frac,black_frac,hispanic_frac,category_waterproofing,category_countertopinstall,category_electronics,age,male_frac,fast_food,Treatment
1002,92490.38,0.342229908,0.021428571,0.917541804,0.752829792,0.010136489,26.68509417,0.541666667,0.249316249,0.73680347,0.052652653,0.062395729,0.001277139,0.001915709,0.003831418,33.64166667,0.241666667,0.249316249,True
1003,97522.48,0.876033058,0.029652352,0.89858416,0.850706581,0.00598258,25.27500263,0.315789474,0.276006988,0.734330737,0.056303116,0.046565156,0.001897533,0.001897533,0.003795066,26.02631579,0.131578947,0.276006988,True
1007,90918.82,0.573860791,0.022380468,0.913746635,0.915652947,0.019254695,28.84104242,0.676767677,0.373530013,0.913554541,0.008396024,0.020486298,0.001253918,0.001880878,0.004388715,38.67676768,0.181818182,0.373530013,True
1013,50298.07,0.81985704,0.02060844,0.617277116,0.607905441,0.028978045,29.75359286,0.7,0.449863084,0.684914789,0.030597568,0.250751863,0.003708282,0.004326329,0.003708282,35.72857143,0.3,0.449863084,False
1020,59888.59,0.82728881,0.015037594,0.632370354,0.665141951,0.020557396,29.51137636,0.781818182,0.369428141,0.794345228,0.030298084,0.146397205,0.003103662,0.004345127,0.003724395,38.08484848,0.206060606,0.369428141,False
1027,78656.86,0.658733624,0.018480493,0.902507439,0.783488412,0.008104341,29.52270873,0.69047619,0.331624451,0.88652641,0.017569382,0.06591316,0.002520479,0.002520479,0.004410838,39.06349206,0.166666667,0.331624451,True
1033,83699.52,0.648283262,0.017223911,0.935898331,0.711560395,0.03115461,27.446778,0.6,0.280670358,0.909033281,0.0,0.069096672,0.003101737,0.00248139,0.004962779,39.62,0.2,0.280670358,True
1040,45855.15,0.744229168,0.012987013,0.63535673,0.682437983,0.032479895,29.68249077,0.753846154,0.344152701,0.431653426,0.035029791,0.499751738,0.003078818,0.003694581,0.004926108,38.18461538,0.269230769,0.344152701,False
1057,86244.61,0.731803797,0.023323615,0.925431132,0.889800879,0.014085326,27.84865405,0.648648649,0.296955574,0.958167104,0.002963638,0.01402029,0.001854141,0.003708282,0.002472188,39.91891892,0.189189189,0.296955574,True
1075,92171.16,0.602002716,0.016080402,0.946696592,0.8855764,0.015916341,28.55416207,0.646551724,0.3109595,0.856949916,0.030669668,0.052841868,0.00308642,0.004320988,0.004938272,38.15517241,0.206896552,0.3109595,True
