zipcode,MedianFamilyIncome,no_college,category_hotdogs_frac,lapophalfshare,Fresh_FV,soda,bmi,ow,fastfood,white_frac,black_frac,hispanic_frac,category_waterproofing,category_countertopinstall,category_electronics,age,male_frac,fast_food,Treatment
2119,38162.59,0.764572078,0.012965964,0.152097229,0.661970306,0.020822641,29.30817123,0.712328767,0.396996162,0.10468453,0.541124734,0.280736407,0.002126152,0.001417434,0.000708717,34.69863014,0.219178082,0.396996162,False
2124,58112.62,0.757300103,0.014516129,0.329191158,0.604987081,0.015971272,30.66180809,0.794117647,0.366694665,0.162892085,0.581455479,0.158154984,0.001965924,0.001965924,0.000655308,36.16911765,0.301470588,0.366694665,False
6002,89516.53,0.648554554,0.021256932,0.799656534,0.572474171,0.012612077,29.72656333,0.75,0.354478043,0.323439841,0.57098661,0.052303379,0.001265823,0.001898734,0.001265823,39.76666667,0.216666667,0.354478043,True
7203,63619.58,0.815386718,0.0316403,0.368692004,0.582117613,0.021970167,32.07653125,0.90625,0.461849482,0.142279258,0.53005998,0.276840099,0.004435995,0.005703422,0.001267427,40.15625,0.28125,0.461849482,False
7205,61108.02,0.787816704,0.037333333,0.229576375,0.716246368,0.012875628,32.74581765,0.941176471,0.417704405,0.207798165,0.535045872,0.173899083,0.003826531,0.005739796,0.001913265,38.38235294,0.294117647,0.417704405,False
8046,77773.42,0.764443813,0.030068729,0.711239477,0.563128264,0.021805771,31.9903746,0.793650794,0.396875565,0.155810699,0.67215826,0.106863431,0.001849568,0.003699137,0.002466091,41.95238095,0.238095238,0.396875565,False
8618,65810.66,0.802514383,0.02513465,0.642544558,0.758630488,0.015550501,29.78400577,0.730769231,0.369666067,0.249888883,0.606252161,0.099955553,0.001743173,0.001743173,0.002905288,38.55769231,0.192307692,0.369666067,False
10026,51091.4,0.576019823,0.018103448,0.0,0.859236751,0.014975216,26.44104621,0.544827586,0.24054428,0.194187857,0.515957447,0.208536585,0.0,0.002795248,0.00349406,36.04827586,0.2,0.24054428,False
10030,43080.47,0.721192085,0.017921147,0.0,0.664830523,0.017521059,28.13586056,0.732394366,0.301209728,0.088675143,0.581922393,0.271625272,0.00070028,0.00210084,0.00280112,35.54929577,0.267605634,0.301209728,False
10037,41588.12,0.627971728,0.013611615,0.0,0.716031397,0.017699648,27.89299149,0.638297872,0.244823291,0.057627287,0.65368934,0.234188544,0.0,0.00209937,0.00349895,35.61702128,0.234042553,0.244823291,False
