race,treatment,outcome,effect,upper_conf,lower_conf,control_mean,treatment_mean,p_boot
black,MedianFamilyIncome,Fresh_FV,-6.497076884,4.788560466,4.731837506,0.567451714,0.606881255,0.004
black,MedianFamilyIncome,fast_food,5.464076159,5.235979549,5.177444389,0.424516614,0.402522479,0.015
black,MedianFamilyIncome,soda,14.15297199,21.60988323,16.91422417,0.028679992,0.025124175,0.061
black,MedianFamilyIncome,bmi,3.694906249,2.01220832,1.767282056,30.93642044,29.83407918,0
black,MedianFamilyIncome,bmi_abs,1.102341256,0.571850706,0.51924888,30.93642044,29.83407918,0
black,MedianFamilyIncome,ow,8.100973019,4.178151966,3.577271025,0.810800595,0.750040053,0
hispanic,MedianFamilyIncome,Fresh_FV,5.706204969,4.933107421,5.014029581,0.587669777,0.555946339,0.012
hispanic,MedianFamilyIncome,fast_food,-3.314305095,5.644569376,5.304325412,0.379883939,0.392906044,0.14
hispanic,MedianFamilyIncome,soda,1.591884331,12.80970968,11.54301641,0.024782438,0.024394112,0.397
hispanic,MedianFamilyIncome,bmi,0.288869563,1.131127112,1.068139331,29.08027645,28.99651435,0.28
hispanic,MedianFamilyIncome,bmi_abs,0.083762104,0.327118295,0.311408834,29.08027645,28.99651435,0.28
hispanic,MedianFamilyIncome,ow,-0.038722598,3.164834402,3.333113549,0.722025544,0.72230524,0.492
white,MedianFamilyIncome,Fresh_FV,2.182093665,0.586432477,0.610681774,0.656651051,0.6426283,0
white,MedianFamilyIncome,fast_food,-5.063116195,0.859140675,0.794404354,0.340935349,0.359117906,0
white,MedianFamilyIncome,soda,-8.826713348,1.885834523,1.760370974,0.022855251,0.025067925,0
white,MedianFamilyIncome,bmi,0.486001241,0.152606199,0.145152863,27.89392503,27.75901587,0
white,MedianFamilyIncome,bmi_abs,0.134909162,0.042256291,0.040215494,27.89392503,27.75901587,0
white,MedianFamilyIncome,ow,3.261379482,0.533758198,0.517583605,0.645727291,0.625332815,0
black,no_college,Fresh_FV,11.24309923,5.615748959,4.803706953,0.620357628,0.557659425,0
black,no_college,fast_food,-7.612590721,4.882588497,4.41374046,0.391459995,0.42371574,0.002
black,no_college,soda,-5.623083095,13.0107174,11.65513523,0.025019992,0.026510711,0.191
black,no_college,bmi,-5.512392963,1.495758095,1.590498316,29.63362832,31.36244979,0
black,no_college,bmi_abs,-1.728821475,0.478292229,0.515487783,29.63362832,31.36244979,0
black,no_college,ow,-11.48127128,2.591158073,3.00461003,0.733551548,0.828696434,0
hispanic,no_college,Fresh_FV,8.859032288,5.394879656,5.241955513,0.625935289,0.57499619,0
hispanic,no_college,fast_food,-11.90240708,5.641204907,5.289481101,0.339231166,0.385062923,0
hispanic,no_college,soda,-16.52105319,8.726547326,8.148723333,0.02142625,0.02566665,0
hispanic,no_college,bmi,-5.948697553,1.097175849,0.997058033,27.96927336,29.73831583,0
hispanic,no_college,bmi_abs,-1.769042466,0.332735491,0.305863855,27.96927336,29.73831583,0
hispanic,no_college,ow,-13.69702029,3.25223528,2.8673736,0.653775036,0.75753472,0
white,no_college,Fresh_FV,9.689903223,0.705187492,0.694219744,0.657920686,0.599800589,0
white,no_college,fast_food,-5.877641466,0.798830286,0.869678179,0.341669144,0.363005294,0
white,no_college,soda,-7.712197114,2.084899131,2.125442576,0.022775046,0.024678284,0
white,no_college,bmi,-4.100106706,0.137190299,0.150854669,27.76769905,28.95488003,0
white,no_college,bmi_abs,-1.187180978,0.040441712,0.043895472,27.76769905,28.95488003,0
white,no_college,ow,-11.10461484,0.433511022,0.434751532,0.637502776,0.717138213,0
white,category_hotdogs_frac,Fresh_FV,6.028130135,0.63581418,0.661358147,0.662857228,0.6251711,0
white,category_hotdogs_frac,fast_food,-6.610671676,0.885042417,0.88167285,0.335233258,0.358963132,0
white,category_hotdogs_frac,soda,-13.54191612,1.964587929,1.776753388,0.021884635,0.025312422,0
white,category_hotdogs_frac,bmi,-0.643918769,0.140937796,0.133726443,27.96585008,28.1470945,0
white,category_hotdogs_frac,bmi_abs,-0.181244424,0.039786716,0.037735529,27.96585008,28.1470945,0
white,category_hotdogs_frac,ow,-2.372975059,0.493239078,0.475504716,0.646685582,0.662404271,0
black,category_hotdogs_frac,Fresh_FV,7.023863347,2.438219356,2.444423895,0.581661485,0.543487655,0
black,category_hotdogs_frac,fast_food,-12.04278132,2.636344402,2.544371782,0.416436384,0.473453334,0
black,category_hotdogs_frac,soda,-8.993744338,5.677166337,6.00049835,0.026237929,0.028830907,0.002
black,category_hotdogs_frac,bmi,0.505835916,1.034187699,0.997403174,30.93146376,30.77578877,0.153
black,category_hotdogs_frac,bmi_abs,0.155674993,0.315739843,0.307754155,30.93146376,30.77578877,0.153
black,category_hotdogs_frac,ow,3.062211776,2.195549061,2.057252206,0.798983301,0.775243697,0.001
hispanic,category_hotdogs_frac,Fresh_FV,1.50073866,2.179214616,2.021755568,0.570233941,0.56180275,0.083
hispanic,category_hotdogs_frac,fast_food,-5.920447142,2.656047427,2.677705934,0.398021461,0.42306904,0
hispanic,category_hotdogs_frac,soda,-0.594743494,5.833959626,5.602741674,0.028338906,0.028508459,0.434
hispanic,category_hotdogs_frac,bmi,-0.172397796,0.594621862,0.5439897,29.69911266,29.75040169,0.291
hispanic,category_hotdogs_frac,bmi_abs,-0.051289037,0.176510418,0.161349174,29.69911266,29.75040169,0.291
hispanic,category_hotdogs_frac,ow,-1.799552401,1.347707383,1.302029258,0.749661063,0.763398825,0.004
black,lapophalfshare,Fresh_FV,10.23017408,3.104930901,3.196253682,0.580789385,0.526887842,0
black,lapophalfshare,fast_food,-12.64225406,2.6031192,2.644707335,0.417637922,0.478077722,0
black,lapophalfshare,soda,-5.425758501,7.089847834,6.379326277,0.027094374,0.028648788,0.06
black,lapophalfshare,bmi,-3.794806203,0.911901334,0.87411818,30.75312144,31.96617586,0
black,lapophalfshare,bmi_abs,-1.213054424,0.293618468,0.287379146,30.75312144,31.96617586,0
black,lapophalfshare,ow,-8.960138674,1.735208443,1.661350393,0.783478116,0.860587994,0
hispanic,lapophalfshare,Fresh_FV,7.350742168,1.964949543,1.82372924,0.563382299,0.52480522,0
hispanic,lapophalfshare,fast_food,-7.212374134,2.118064157,2.07041132,0.410706361,0.442630531,0
hispanic,lapophalfshare,soda,5.13732618,5.063610667,5.337707395,0.029286526,0.027855498,0.029
hispanic,lapophalfshare,bmi,-1.51759294,0.505376034,0.477464388,29.89767421,30.35839101,0
hispanic,lapophalfshare,bmi_abs,-0.460716799,0.153595458,0.144907276,29.89767421,30.35839101,0
hispanic,lapophalfshare,ow,-3.491998513,1.093453721,1.050473362,0.763022374,0.790631204,0
white,lapophalfshare,Fresh_FV,1.654881676,0.691197416,0.669436322,0.644102994,0.633617376,0
white,lapophalfshare,fast_food,-5.004108897,0.996193066,0.888280873,0.349262848,0.367661005,0
white,lapophalfshare,soda,-3.536450037,2.112486364,2.134391609,0.024764712,0.025672611,0.001
white,lapophalfshare,bmi,-0.104386232,0.156200544,0.164353708,28.2091648,28.23864206,0.082
white,lapophalfshare,bmi_abs,-0.029477254,0.044086694,0.046490772,28.2091648,28.23864206,0.082
white,lapophalfshare,ow,-1.373032196,0.481505884,0.451152802,0.656263731,0.665399885,0
