zipcode,MedianFamilyIncome,no_college,category_hotdogs_frac,lapophalfshare,Fresh_FV,soda,bmi,ow,fastfood,white_frac,black_frac,hispanic_frac,category_waterproofing,category_countertopinstall,category_electronics,age,male_frac,fast_food,Treatment
1002,92490.38,0.342229908,0.021428571,0.917541804,0.752829792,0.010136489,26.68509417,0.541666667,0.249316249,0.73680347,0.052652653,0.062395729,0.001277139,0.001915709,0.003831418,33.64166667,0.241666667,0.249316249,False
1003,97522.48,0.876033058,0.029652352,0.89858416,0.850706581,0.00598258,25.27500263,0.315789474,0.276006988,0.734330737,0.056303116,0.046565156,0.001897533,0.001897533,0.003795066,26.02631579,0.131578947,0.276006988,True
1013,50298.07,0.81985704,0.02060844,0.617277116,0.607905441,0.028978045,29.75359286,0.7,0.449863084,0.684914789,0.030597568,0.250751863,0.003708282,0.004326329,0.003708282,35.72857143,0.3,0.449863084,True
1020,59888.59,0.82728881,0.015037594,0.632370354,0.665141951,0.020557396,29.51137636,0.781818182,0.369428141,0.794345228,0.030298084,0.146397205,0.003103662,0.004345127,0.003724395,38.08484848,0.206060606,0.369428141,True
1035,94864.0,0.50243309,0.024793388,0.865117619,0.902630758,0.015489422,26.97039744,0.666666667,0.30328734,0.898463844,0.022667666,0.044773323,0.001889169,0.002518892,0.005037783,38.20512821,0.205128205,0.30328734,False
1060,83950.45,0.394451027,0.026804124,0.646107045,0.973046418,0.00770337,26.85311165,0.563106796,0.240778646,0.802492374,0.033231648,0.090737976,0.001883239,0.002510986,0.005021971,38.25242718,0.174757282,0.240778646,False
1062,77141.16,0.440776699,0.026694045,0.845434735,0.947185687,0.00872464,27.8819766,0.638297872,0.240446164,0.812367719,0.014079323,0.080795068,0.001261034,0.001891551,0.004413619,41.19148936,0.127659574,0.240446164,False
1095,103751.11,0.557627282,0.015567766,0.848966484,0.851321478,0.016700103,27.01586429,0.625,0.213397859,0.901983664,0.026220056,0.039330084,0.002458513,0.003687769,0.003073141,37.29464286,0.196428571,0.213397859,False
1104,38633.04,0.873661817,0.016881827,0.47561873,0.691416523,0.015458391,31.11040392,0.764705882,0.426728033,0.315878014,0.079972394,0.571668895,0.003708282,0.004326329,0.003090235,36.64705882,0.235294118,0.426728033,True
1106,106909.27,0.356734037,0.017304189,0.62846133,0.788109035,0.018561199,27.06384188,0.564102564,0.349232545,0.870862792,0.009322405,0.040167678,0.004250152,0.004250152,0.003035823,37.14529915,0.247863248,0.349232545,False
1108,46763.34,0.819166867,0.016869728,0.489555504,0.682955202,0.012270075,29.33156543,0.777777778,0.401634901,0.312489015,0.163380084,0.440261521,0.003687769,0.003687769,0.003073141,37.02469136,0.259259259,0.401634901,True
1109,42908.07,0.862954899,0.018700787,0.693807894,0.606715667,0.024514444,29.730102,0.78,0.43154741,0.216198281,0.348883506,0.390590265,0.003678725,0.004291845,0.003678725,34.78,0.18,0.43154741,True
1267,94380.15,0.387475538,0.085790885,0.8002927,0.824608544,0.007841619,26.77509677,0.548387097,0.245446975,0.791741015,0.045500892,0.069334693,0.003528582,0.001411433,0.000705716,36.03225806,0.161290323,0.245446975,False
1331,66520.9,0.818278767,0.077393075,0.953525009,0.785243878,0.014904132,29.38510189,0.698113208,0.399542047,0.91669822,0.005679667,0.054903446,0.001191895,0.001191895,0.001787843,39.90566038,0.188679245,0.399542047,True
