index,zipcode,age_years,height_in_inches,bmi,fastfood_consumption,Fresh_FV,MedianFamilyIncome,lapophalfshare,no_college,higher_ed_frac,white_frac,black_frac,hispanic_frac,asian_frac,yelp_category_fastfood_frac,male_frac,soda_consumption
0,1001,39.62376238,65.48475248,28.29123762,0.374087864,0.677426653,74627.62,0.887664597,0.722828593,0.277171407,0.86546519,0.011995638,0.075417552,0.034609424,0.016453382,0.198019802,0.028914735
1,1002,33.64166667,66.30336833,26.68509417,0.249316249,0.752829792,92490.38,0.917541804,0.342229908,0.657770092,0.73680347,0.052652653,0.062395729,0.116850184,0.021428571,0.241666667,0.010136489
2,1003,26.02631579,65.93990789,25.27500263,0.276006988,0.850706581,97522.48,0.89858416,0.876033058,0.123966942,0.734330737,0.056303116,0.046565156,0.136154391,0.029652352,0.131578947,0.00598258
3,1007,38.67676768,65.46424242,28.84104242,0.373530013,0.915652947,90918.82,0.913746635,0.573860791,0.426139209,0.913554541,0.008396024,0.020486298,0.029755508,0.022380468,0.181818182,0.019254695
4,1013,35.72857143,66.1,29.75359286,0.449863084,0.607905441,50298.07,0.617277116,0.81985704,0.18014296,0.684914789,0.030597568,0.250751863,0.02283921,0.02060844,0.3,0.028978045
5,1020,38.08484848,66.0241703,29.51137636,0.369428141,0.665141951,59888.59,0.632370354,0.82728881,0.17271119,0.794345228,0.030298084,0.146397205,0.012569787,0.015037594,0.206060606,0.020557396
6,1027,39.06349206,65.41161587,29.52270873,0.331624451,0.783488412,78656.86,0.902507439,0.658733624,0.341266376,0.88652641,0.017569382,0.06591316,0.013428827,0.018480493,0.166666667,0.008104341
7,1028,37.2970297,65.35366337,26.61938317,0.268029984,0.644619361,91469.47,0.884644218,0.570019894,0.429980106,0.877855942,0.059764677,0.028450476,0.020357343,0.017641597,0.178217822,0.01375302
8,1030,37.05714286,65.88462429,26.90044857,0.441064905,0.650033203,78838.19,0.869777177,0.694666002,0.305333998,0.89829757,0.0172903,0.062777088,0.018531655,0.017367459,0.242857143,0.036458998
9,1033,39.62,65.6576,27.446778,0.280670358,0.711560395,83699.52,0.935898331,0.648283262,0.351716738,0.909033281,0,0.069096672,0.002852615,0.017223911,0.2,0.03115461
10,1035,38.20512821,65.68923077,26.97039744,0.30328734,0.902630758,94864,0.865117619,0.50243309,0.49756691,0.898463844,0.022667666,0.044773323,0.022292994,0.024793388,0.205128205,0.015489422
11,1040,38.18461538,66.46683231,29.68249077,0.344152701,0.682437983,45855.15,0.63535673,0.744229168,0.255770832,0.431653426,0.035029791,0.499751738,0.018048659,0.012987013,0.269230769,0.032479895
12,1056,37.47252747,65.69010989,29.1308022,0.415646933,0.624455333,81211.36,0.792267726,0.782162539,0.217837461,0.898791682,0.011755339,0.065989135,0.012598351,0.017241379,0.252747253,0.017991424
13,1057,39.91891892,66.02486486,27.84865405,0.296955574,0.889800879,86244.61,0.925431132,0.731803797,0.268196203,0.958167104,0.002963638,0.01402029,0.005699305,0.023323615,0.189189189,0.014085326
14,1060,38.25242718,65.9055233,26.85311165,0.240778646,0.973046418,83950.45,0.646107045,0.394451027,0.605548973,0.802492374,0.033231648,0.090737976,0.052768222,0.026804124,0.174757282,0.00770337
